Shape_Leng,Shape_Area,ADM2_FR,ADM2_PCODE,ADM2_REF,ADM2ALT1FR,ADM2ALT2FR,ADM1_FR,ADM1_PCODE,ADM0_EN,ADM0_FR,ADM0_PCODE,date,validOn,validTo,total_sum,f_60_sum,f_65_sum,f_70_sum,f_75_sum,f_80_sum,m_60_sum,m_65_sum,m_70_sum,m_75_sum,m_80_sum,kmsquare,PopDens,PopDenTot,PopDenRank,ElderlyPop,EldPopTot,EldPopRank,FinalRank
0.49935464204,0.01230948223,Abomey,BJ1201,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,84772.764155954122543,1169.224107243120670,658.927569182822481,660.859085282310843,455.832175339572132,336.237983714439906,850.870558795752004,526.809050524374470,456.720047003240325,327.588015071291011,240.340874402609188,150.358804749538450,563.803126110008179,42716.709962227701908,0.013198655200940,5683.409466559533030,583314.632662043208256,0.009743300010532,0.022941955211472
0.97830305792,0.04376623840,Abomey-Calavi,BJ0301,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,1022027.917513608932495,7072.819527630228549,3648.325028800871223,2479.441172001417726,1626.900997449643910,1800.410308032063767,6456.899218441918492,3046.351330244448036,1811.828954284777865,1189.063459368189797,1738.499113231198862,535.352840732296727,1909.073492755919006,42716.709962227701908,0.044691491794289,30870.539109484758228,583314.632662043208256,0.052922620796606,0.097614112590895
1.08698475113,0.03702160044,Adja-Ouere,BJ1101,,,,Plateau,BJ11,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,149868.344511568546295,1430.731243887450546,863.478288489859551,790.977215692400932,473.028521311935037,404.274351656204090,1209.187059086747468,739.200634581269696,602.831119523616508,360.533277615904808,196.763208660297096,452.400842544194063,331.273354109476998,42716.709962227701908,0.007755123332354,7071.004920505685732,583314.632662043208256,0.012122111335072,0.019877234667426
0.33345769419,0.00590785096,Adjarra,BJ1001,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,152748.679650306701660,1564.801711212843657,941.221291234716773,703.161113431677222,366.261500027030706,344.434222671203315,1397.877612937241793,791.977154796943069,444.829315360635519,260.210485880263150,205.067031956277788,72.267101987308649,2113.668259135837616,42716.709962227701908,0.049481063991231,7019.841439508832991,583314.632662043208256,0.012034399698620,0.061515463689851
0.66041709398,0.02627858429,Adjohoun,BJ1002,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,92810.154030919075012,1183.651151179801673,628.682384837884456,562.581891952548176,352.635883182054386,362.379865854512900,1046.066519713029265,521.757328659063205,353.162075524218380,247.153782669105567,204.950252674054354,321.309767204434934,288.849463987405500,42716.709962227701908,0.006761978257287,5463.021136246272363,583314.632662043208256,0.009365479331994,0.016127457589281
0.62306448761,0.01859372832,Agbangnizoun,BJ1202,,,,Zou,BJ12,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,95593.078288316726685,1362.593398722819984,687.162551463814452,835.516302104340866,451.754737473325804,471.193419379647821,1013.754533452913165,559.631768290419132,591.309941654326394,331.522012755973265,339.193495227373205,227.167524372467000,420.804331747618107,42716.709962227701908,0.009851047332993,6643.632160524953179,583314.632662043208256,0.011389448830052,0.021240496163045
0.45738233308,0.01047946915,Aguegues,BJ1003,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,47025.575623869895935,508.787429843097925,165.538511963561177,199.309792350511998,86.565761769888923,111.622285304591060,469.477330602705479,143.344319208525121,130.389139707665890,63.507751335622743,61.542496734997258,128.194098740345879,366.831048277183868,42716.709962227701908,0.008587530467622,1940.084818821167573,583314.632662043208256,0.003325966314212,0.011913496781834
0.39354203221,0.00656171130,Akpo-Misserete,BJ1004,,,,Oueme,BJ10,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,110184.768691778182983,929.448186233639717,565.596493068151176,502.558692765422165,273.078163267113268,249.692760676145554,833.680036973208189,479.133466034196317,323.258667960762978,196.011078664567322,144.939963261596859,80.251576826447504,1372.991946688653343,42716.709962227701908,0.032141799963123,4497.397508904803544,583314.632662043208256,0.007710071472715,0.039851871435838
0.80658850590,0.03128799510,Allada,BJ0302,,,,Atlantique,BJ03,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,152519.203088521957397,1763.719784367363900,978.019550703931600,1007.807782877702266,598.815041480236687,561.739117632387206,1564.253553203772753,794.984916392480955,715.495512485969812,424.972146796993911,339.988434240804054,382.583488397022620,398.655999838253649,42716.709962227701908,0.009332553939448,8749.795840181643143,583314.632662043208256,0.015000130890341,0.024332684829789
1.54779137863,0.07438291413,Aplahoue,BJ0601,,,,Couffo,BJ06,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,204162.431242436170578,2022.808528596535325,994.462331812712364,770.554072891944088,356.002991579938680,573.723227449809201,1374.963043848983943,620.647568863816559,504.997035936976317,207.314776375336805,340.846161930938251,908.610853553342167,224.697328283070419,42716.709962227701908,0.005260174027489,7766.319739286991535,583314.632662043208256,0.013314117809533,0.018574291837022
0.78390903390,0.01770663044,Athieme,BJ0901,,,,Mono,BJ09,Benin,Bénin (le),BJ,2015-08-07,2019-08-16,,66682.263689637184143,726.826818363741040,397.763778183143586,417.573651381768286,223.810697322478518,233.020058796275407,524.090041548945010,301.145319853443652,273.609454878140241,141.226258658803999,163.025719466386363,216.557324020003392,307.919688199867778,42716.709962227701908,0.007208413018515,3402.091798453126103,583314.632662043208256,0.005832344343784,0.013040757362299
